"statistikkvariabel";"år";"Aage";"Aaron";"Aasmund";"Abbas";"Abdi";"Abdirahman";"Abdul";"Abdulkadir";"Abdullah";"Abdullahi";"Abdulrahman";"Abel";"Abraham";"Adam";"Adel";"Adem";"Adil";"Adnan";"Adrian";"Agnar";"Ahmad";"Ahmed";"Ahmet";"Aiden";"Ailo";"Aksel";"Alan";"Albert";"Alejandro";"Aleksandar";"Aleksander";"Aleksandr";"Aleksandrs";"Alex";"Alexander";"Alexandru";"Alf";"Alfred";"Ali";"Allan";"Alv";"Alvin";"Amanuel";"Amar";"Amer";"Amin";"Amir";"Ammar";"Amund";"Anas";"Anders";"Andre";"Andreas";"Andrei";"Andrej";"Andres";"Andrew";"Andris";"Andrius";"Andrzej";"Annar";"Ansgar";"Anthony";"Anton";"Antoni";"Antonio";"Anwar";"Aram";"Are";"Ari";"Arian";"Arild";"Arkadiusz";"Arman";"Armin";"Arn";"Arne";"Arnfinn";"Arnold";"Arnstein";"Arnt";"Arnulf";"Aron";"Arthur";"Artur";"Arturas";"Arunas";"Arve";"Arvid";"Aryan";"Asbjørn";"Asgeir";"Ask";"Aslak";"Asle";"Asmund";"Atle";"Audrius";"Audun";"August";"Aurimas";"Axel";"Ayman";"Baard";"Balder";"Bartlomiej";"Bartosz";"Bastian";"Ben";"Bendik";"Bengt";"Benjamin";"Benny";"Bent";"Bernard";"Bernhard";"Bernt";"Bertil";"Bilal";"Birger";"Birk";"Bjarne";"Bjarte";"Bjørge";"Bjørn";"Bjørn-Erik";"Bjørnar";"Bo";"Bogdan";"Boguslaw";"Borgar";"Boris";"Brage";"Brede";"Brian";"Bror";"Bruno";"Brynjar";"Brynjulf";"Børge";"Børre";"Bård";"Carl";"Carlos";"Carsten";"Casper";"Caspian";"Cato";"Charles";"Charlie";"Chris";"Christen";"Christer";"Christian";"Christoffer";"Christopher";"Claes";"Claus";"Colin";"Conrad";"Constantin";"Cornelius";"Cristian";"Dag";"Dagfinn";"Dainius";"Damian";"Dan";"Dani";"Daniel";"Danny";"Darius";"Dariusz";"David";"Dawid";"Dawit";"Deividas";"Dejan";"Denis";"Dennis";"Didrik";"Diego";"Dominik";"Donatas";"Dragan";"Eddie";"Edgar";"Edin";"Edmund";"Edvard";"Edvin";"Edward";"Edwin";"Egidijus";"Egil";"Eigil";"Eilert";"Eilif";"Einar";"Eirik";"Eivind";"Eldar";"Eliah";"Elias";"Elling";"Elliot";"Emanuel";"Emil";"Emilian";"Emilio";"Emir";"Emmanuel";"Emre";"Emrik";"Endre";"Eric";"Erik";"Erland";"Erlend";"Erling";"Ernst";"Esben";"Eskil";"Eskild";"Espen";"Esten";"Evald";"Evaldas";"Even";"Eystein";"Eyvind";"Fabian";"Faisal";"Falk";"Farhad";"Felix";"Ferdinand";"Fernando";"Filip";"Fillip";"Finn";"Flemming";"Florian";"Francis";"Francisco";"Frank";"Frans";"Fred";"Freddy";"Frederik";"Fredrick";"Fredrik";"Fridtjof";"Frithjof";"Frits";"Fritz";"Frode";"Gabriel";"Gard";"Gaute";"Gediminas";"Geir";"Georg";"George";"Gerhard";"Gert";"Giedrius";"Gintaras";"Gisle";"Gjermund";"Gjert";"Glen";"Glenn";"Goran";"Gorm";"Grzegorz";"Gudbrand";"Gudmund";"Gunnar";"Gunvald";"Gustav";"Guttorm";"Gøran";"Haakon";"Haavard";"Hadi";"Haldor";"Halfdan";"Hallgeir";"Hallstein";"Hallvard";"Halvard";"Halvor";"Hamid";"Hamza";"Hans";"Hans-Petter";"Harald";"Haris";"Harry";"Hasan";"Hassan";"Hauk";"Heine";"Helge";"Helmer";"Henning";"Henrik";"Henry";"Henryk";"Herman";"Hermann";"Hermod";"Hilmar";"Hjalmar";"Hogne";"Holger";"Hubert";"Hugo";"Hussain";"Hussein";"Håkon";"Håvar";"Håvard";"Ian";"Ibrahim";"Idar";"Idris";"Igor";"Ilyas";"Imran";"Imre";"Ingar";"Inge";"Ingebrigt";"Ingmar";"Ingolf";"Ingvald";"Ingvar";"Ingve";"Ireneusz";"Isa";"Isaac";"Isac";"Isak";"Ismail";"Ivan";"Ivar";"Iver";"Ivo";"Jacek";"Jack";"Jacob";"Jahn";"Jakob";"Jakub";"Jamal";"James";"Jan";"Jan-Erik";"Janis";"Jann";"Janusz";"Jaran";"Jarand";"Jardar";"Jarl";"Jarle";"Jaroslaw";"Jason";"Jean";"Jens";"Jeppe";"Jerzy";"Jesper";"Jim";"Jimmy";"Jo";"Joachim";"Joacim";"Joakim";"Joao";"Joar";"Joel";"Johan";"Johann";"Johannes";"John";"Johnny";"Jomar";"Jon";"Jonah";"Jonas";"Jonatan";"Jonathan";"Jone";"Jonn";"Jonny";"Jorge";"Jose";"Josef";"Joseph";"Joshua";"Jostein";"Jozef";"Juan";"Julian";"Julius";"Justin";"Jøran";"Jørg";"Jørgen";"Jørn";"Jørund";"Kaare";"Kacper";"Kai";"Kaj";"Kamal";"Kamil";"Karim";"Karl";"Karol";"Karolis";"Karstein";"Karsten";"Kasper";"Kato";"Kay";"Kazimierz";"Ken";"Kennet";"Kenneth";"Kenny";"Kent";"Kestutis";"Ketil";"Kevin";"Khaled";"Khalid";"Khalil";"Kian";"Kim";"Kim-Andre";"Kjartan";"Kjell";"Kjetil";"Klaus";"Knut";"Kolbjørn";"Konrad";"Kornelius";"Kristen";"Krister";"Kristian";"Kristoffer";"Krystian";"Krzysztof";"Kurt";"Kyrre";"Kåre";"Lars";"Lars-Erik";"Lasse";"Laurits";"Lauritz";"Lavrans";"Leander";"Leif";"Leiv";"Lennart";"Leo";"Leon";"Leonard";"Leonardo";"Leszek";"Levi";"Liam";"Liban";"Linas";"Linus";"Loke";"Lorentz";"Louis";"Luca";"Lucas";"Ludvig";"Ludvik";"Luis";"Luka";"Lukas";"Lukasz";"Lyder";"Maciej";"Mads";"Magnar";"Magne";"Magnus";"Mahad";"Mahamed";"Mahdi";"Mahmoud";"Maksymilian";"Malik";"Malvin";"Mantas";"Manuel";"Marc";"Marcel";"Marcin";"Marco";"Marcus";"Marek";"Marian";"Mario";"Marius";"Mariusz";"Mark";"Marko";"Markus";"Martin";"Martinius";"Martinus";"Martynas";"Marvin";"Matas";"Mateo";"Mateusz";"Matheo";"Matheus";"Mathias";"Mathis";"Matias";"Mats";"Matteo";"Matthew";"Matthias";"Mattias";"Mattis";"Max";"Maximilian";"Mehdi";"Mehmet";"Melvin";"Michael";"Michal";"Miguel";"Mika";"Mikael";"Mikail";"Mikal";"Mike";"Mikkel";"Mikolaj";"Milan";"Milian";"Milos";"Mindaugas";"Minh";"Mio";"Miroslav";"Miroslaw";"Mohamad";"Mohamed";"Mohammad";"Mohammed";"Mons";"Morgan";"Morten";"Mostafa";"Muhammad";"Muhammed";"Mustafa";"Narve";"Natan";"Nataniel";"Nathan";"Nathaniel";"Neo";"Nerijus";"Nicholas";"Nicklas";"Niclas";"Nicolai";"Nicolas";"Nicolay";"Niels";"Niklas";"Nikola";"Nikolai";"Nikolas";"Nikolay";"Nils";"Njål";"Noa";"Noah";"Noel";"Norbert";"Normann";"Norvald";"Odd";"Oddbjørn";"Oddgeir";"Oddleif";"Oddmund";"Oddvar";"Oddvin";"Odin";"Ola";"Olaf";"Olai";"Olav";"Ole";"Ole-Christian";"Ole-Jørgen";"Ole-Kristian";"Ole-Martin";"Ole-Petter";"Oliver";"Olivier";"Olve";"Omar";"Omer";"Omid";"Oscar";"Oskar";"Osman";"Osvald";"Ottar";"Otto";"Ove";"Paal";"Patrick";"Patrik";"Patryk";"Paul";"Paulius";"Pavel";"Pawel";"Peder";"Pedro";"Pelle";"Per";"Per-Arne";"Per-Erik";"Peter";"Petter";"Philip";"Phillip";"Pierre";"Piotr";"Preben";"Przemyslaw";"Pål";"Radoslaw";"Rafael";"Rafal";"Ragnar";"Ragnvald";"Rainer";"Ralf";"Rami";"Ramunas";"Rasmus";"Ravn";"Rayan";"Raymond";"Reidar";"Remi";"Remy";"Rene";"Reza";"Ricardo";"Richard";"Rikard";"Rino";"Roald";"Roar";"Robert";"Robertas";"Roberto";"Robin";"Roger";"Roland";"Rolandas";"Rolf";"Rolv";"Roman";"Ronald";"Ronnie";"Ronny";"Roy";"Ruben";"Rudi";"Rudolf";"Runar";"Rune";"Ryan";"Ryszard";"Said";"Salah";"Salman";"Sam";"Sami";"Samir";"Samson";"Samuel";"Sander";"Saulius";"Scott";"Sean";"Sebastian";"Selmer";"Severin";"Seyed";"Sigbjørn";"Sigfred";"Sigmund";"Sigurd";"Sigvald";"Sigvart";"Sigve";"Silas";"Simen";"Simon";"Sindre";"Sivert";"Sjur";"Skjalg";"Slawomir";"Snorre";"Solomon";"Sondre";"Stanislaw";"Stefan";"Steffan";"Steffen";"Stein";"Steinar";"Sten";"Stephan";"Stephen";"Steve";"Steven";"Stian";"Stig";"Storm";"Sture";"Sturla";"Ståle";"Svein";"Svein-Erik";"Sveinung";"Sven";"Svend";"Svenn";"Sverre";"Syed";"Sylwester";"Syver";"Sølve";"Szymon";"Søren";"Tadas";"Tadeusz";"Tage";"Tarald";"Tarjei";"Ted";"Tellef";"Teo";"Teodor";"Terje";"Thanh";"Theo";"Theodor";"Thomas";"Thor";"Thorbjørn";"Thore";"Thorleif";"Thorstein";"Thorvald";"Tim";"Timian";"Timothy";"Tobias";"Tom";"Tom-Erik";"Tomas";"Tomasz";"Tommy";"Toni";"Tonny";"Tony";"Tor";"Tor-Arne";"Tor-Erik";"Toralf";"Torben";"Torbjørn";"Tord";"Tore";"Torfinn";"Torgeir";"Torger";"Torgrim";"Torje";"Torjus";"Torkel";"Torkil";"Torkild";"Torleif";"Torleiv";"Tormod";"Torodd";"Torstein";"Torvald";"Tristan";"Tron";"Trond";"Troy";"Truls";"Trygve";"Trym";"Ulf";"Ulrik";"Usman";"Vaidas";"Valentin";"Van";"Varg";"Vebjørn";"Vegar";"Vegard";"Vemund";"Vetle";"Victor";"Vidar";"Viggo";"Viktor";"Vilhelm";"Viljar";"Villy";"Vincent";"Vladimir";"Vytautas";"Waldemar";"Walid";"Walter";"Werner";"Widar";"Wieslaw";"Wiggo";"Wiktor";"Wilhelm";"William";"Willy";"Wilmer";"Wojciech";"Yahya";"Yasin";"Yngvar";"Yngve";"Yonas";"Yosef";"Yousef";"Youssef";"Yusuf";"Zakaria";"Zbigniew";"Øistein";"Øivind";"Ørjan";"Ørnulf";"Øystein";"Øyvind";"Ådne";"Åge";"Åsmund"
"Fødte";"1950";44;.;.;.;.;.;11;.;.;.;.;.;.;.;.;.;.;.;.;20;8;16;..;.;.;25;5;10;.;.;.;.;.;.;6;.;220;25;20;7;12;.;.;.;.;.;.;.;15;.;129;.;46;.;.;5;7;.;.;9;.;7;.;20;.;.;.;.;19;.;.;316;.;.;.;.;746;91;30;14;57;19;.;19;.;.;.;116;217;.;211;7;.;10;40;5;82;.;51;.;.;8;.;.;.;.;.;.;4;.;39;6;4;29;.;17;83;7;.;104;.;154;9;..;939;.;58;..;..;.;..;.;.;4;7;7;.;10;8;18;21;37;43;5;5;.;.;12;17;.;.;.;..;25;.;9;.;..;5;.;.;.;.;178;105;.;.;9;.;9;.;.;.;35;.;.;.;.;.;.;.;.;.;.;.;.;32;.;13;22;29;6;..;.;287;14;11;30;288;38;96;20;.;.;13;.;.;13;.;.;.;.;.;.;23;..;319;16;9;133;36;.;.;5;10;.;6;.;19;..;9;.;.;.;.;.;.;.;.;.;213;.;.;.;.;161;4;27;28;.;.;22;10;8;7;15;82;6;.;15;.;261;39;.;5;.;.;.;13;11;9;.;.;.;.;.;7;39;496;21;26;30;.;8;..;.;9;5;.;5;34;36;34;.;.;470;5;418;.;85;5;4;.;.;393;.;51;24;58;..;10;21;11;12;12;4;5;.;30;.;.;91;.;63;9;4;31;.;.;.;.;.;57;140;6;.;8;19;30;5;.;.;.;.;9;..;8;251;15;.;.;17;9;12;23;.;.;..;1303;19;.;13;5;.;.;.;30;113;.;.;..;142;.;7;.;7;.;11;.;.;.;.;22;.;142;6;74;406;103;5;238;.;.;.;.;.;4;41;.;10;7;.;.;130;.;4;.;.;.;.;.;51;58;..;12;.;85;8;.;.;.;205;.;.;30;48;.;5;6;.;.;.;..;.;11;.;47;.;.;..;.;.;.;.;10;901;33;17;668;26;16;.;22;.;53;9;.;.;43;20;302;320;.;39;5;.;.;.;367;38;.;..;5;.;.;.;.;.;.;.;.;.;.;.;.;.;7;.;4;.;.;.;.;.;5;84;278;33;.;.;.;.;.;.;9;.;.;.;4;.;.;.;.;.;6;.;.;5;.;.;65;.;.;.;8;.;.;.;.;.;6;.;.;5;.;.;.;.;.;.;.;.;5;.;29;.;.;.;5;.;..;.;.;.;7;.;.;.;.;.;.;.;.;22;65;13;4;.;134;.;7;.;7;5;.;.;.;.;.;.;.;.;.;.;.;.;15;.;4;5;.;.;328;4;.;.;.;.;7;15;589;91;10;6;42;160;8;.;132;52;.;292;483;.;.;.;.;.;.;.;.;5;.;.;5;10;6;7;56;49;135;6;.;.;.;93;.;.;.;27;.;.;1063;6;4;48;91;.;.;.;.;.;.;73;.;.;.;151;15;.;.;.;.;8;.;.;11;207;.;.;.;.;.;20;.;.;101;147;61;.;.;.;89;.;.;422;20;.;28;.;11;100;.;.;10;22;153;.;.;4;.;.;.;.;.;.;10;.;.;.;.;.;.;..;.;47;..;111;73;..;..;16;.;.;6;5;6;19;.;.;11;.;.;7;.;.;.;200;363;35;.;7;.;.;.;56;.;10;12;48;909;6;23;86;24;26;178;.;.;.;.;.;7;.;6;.;..;5;.;6;.;.;604;.;.;.;28;177;36;49;30;10;11;.;.;.;.;256;.;6;.;22;.;.;.;512;.;.;12;.;169;5;389;36;55;15;.;.;..;..;.;5;51;8;70;9;69;5;.;11;262;.;25;116;.;78;.;.;.;.;.;.;.;.;5;.;..;8;167;52;19;.;.;27;.;7;.;..;.;17;17;..;.;14;.;11;11;104;.;.;.;.;32;45;.;.;.;.;.;.;.;20;134;9;16;178;181;7;148;35
"Fødte";"1951";49;.;5;.;.;.;16;.;.;.;.;.;.;.;.;.;.;.;.;19;.;..;.;.;.;21;.;7;.;.;.;.;.;.;5;.;202;23;10;..;6;4;.;.;.;.;.;.;12;.;133;5;47;.;.;.;6;.;.;10;9;4;.;17;.;.;.;.;16;.;.;290;.;.;.;.;655;86;30;23;49;19;.;20;..;.;.;138;192;.;178;9;.;11;30;6;87;.;60;.;.;15;.;.;.;.;.;.;..;.;33;.;..;34;.;13;70;7;.;98;.;151;12;4;917;.;80;11;..;.;.;..;.;8;7;6;.;12;16;24;20;31;39;4;10;.;.;23;18;.;.;.;4;26;.;7;.;9;.;.;.;.;.;195;95;.;.;15;.;14;.;.;.;24;.;.;.;.;.;..;.;.;.;.;.;5;41;.;14;10;27;7;.;.;247;8;..;20;295;29;92;14;.;7;7;.;.;11;.;.;.;.;.;.;20;6;297;21;7;151;34;.;.;.;10;.;4;.;25;7;11;.;.;.;.;.;.;.;.;.;210;.;.;.;5;157;.;38;19;.;.;24;6;5;10;12;74;..;.;6;.;344;36;5;10;.;.;.;20;8;4;.;4;.;.;.;..;24;421;10;19;17;.;4;.;.;5;6;5;5;17;33;53;.;.;442;.;339;.;84;7;7;.;.;381;.;54;25;46;9;10;6;15;16;16;.;11;.;29;.;.;84;.;41;.;6;35;.;.;.;.;.;55;157;9;5;18;12;46;7;.;.;.;.;7;.;11;226;11;.;.;17;8;9;24;.;.;7;1224;35;.;13;4;.;.;.;33;102;.;.;5;131;.;6;.;.;.;7;.;.;.;.;25;.;153;5;57;398;90;.;259;.;5;.;.;.;..;42;6;8;10;.;.;103;..;7;.;.;.;..;.;49;72;11;12;.;94;.;.;.;.;165;.;.;34;34;.;.;14;.;.;.;15;.;7;.;34;.;.;.;.;.;6;.;8;895;32;15;658;23;12;.;18;.;68;13;.;4;91;7;291;326;.;34;.;.;.;.;373;39;6;6;..;.;.;.;.;.;.;.;.;.;.;.;.;.;8;..;8;.;.;.;.;.;6;88;236;24;.;.;.;.;.;.;9;.;.;.;.;.;.;.;6;5;7;.;.;.;.;.;69;.;.;.;5;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;7;.;31;.;.;.;.;.;7;.;5;.;..;.;.;.;.;.;.;.;.;17;42;10;.;.;131;.;7;.;.;10;.;.;.;.;.;.;4;.;.;.;.;.;8;.;.;.;.;.;301;9;.;.;.;.;9;16;538;59;11;8;28;161;13;.;125;55;.;301;510;.;.;.;..;.;.;.;.;14;.;.;5;18;.;11;55;64;183;13;..;.;.;103;.;.;.;35;.;.;1054;6;.;58;86;.;.;.;.;.;.;84;.;.;.;148;11;.;.;.;.;8;.;.;14;210;.;.;.;.;.;18;.;.;111;152;62;.;.;.;109;.;.;421;16;.;24;.;5;103;.;.;7;26;190;.;.;.;.;.;.;.;.;.;5;.;.;.;.;.;.;.;.;45;7;99;71;5;.;12;.;.;9;9;8;13;..;.;14;.;.;.;7;.;.;257;363;32;.;.;.;.;.;82;.;10;15;45;870;8;30;82;23;32;178;.;.;.;.;.;11;.;.;..;4;.;.;.;.;.;603;..;.;.;31;167;29;36;19;11;9;.;.;.;.;289;.;8;.;22;.;.;.;504;.;..;20;.;150;5;374;39;70;16;6;.;.;4;.;.;31;19;70;7;76;6;.;13;285;.;31;113;.;69;5;.;.;.;4;.;.;.;10;.;.;8;194;37;17;5;.;21;.;.;.;..;.;13;13;9;.;16;.;12;15;72;.;4;.;.;29;38;.;.;.;.;.;.;.;24;123;10;13;160;208;7;132;21
"Fødte";"1952";43;.;.;.;.;.;9;.;.;.;.;.;4;4;.;.;.;.;.;21;7;9;..;.;.;15;.;7;.;.;.;.;.;..;5;.;223;29;9;8;12;.;.;.;.;.;.;.;14;.;108;7;44;.;.;4;..;.;.;10;9;8;4;17;5;.;.;.;20;.;.;312;.;.;.;.;645;141;21;32;82;14;.;19;.;.;.;139;196;.;162;10;.;12;39;.;86;.;36;.;.;9;.;.;.;.;.;.;8;.;39;.;.;56;.;14;79;8;.;79;.;129;16;4;997;5;73;12;.;.;.;.;.;6;.;8;.;8;14;17;32;30;53;.;7;.;.;22;19;.;.;.;..;30;.;8;.;12;.;.;.;.;.;247;102;.;.;12;.;8;.;.;.;28;.;.;.;.;.;5;.;.;.;.;.;.;36;5;13;13;23;11;.;.;267;11;11;21;270;42;91;20;.;4;13;.;.;18;.;.;.;.;.;.;12;6;261;16;10;131;40;.;.;.;11;.;5;.;37;6;.;.;.;.;.;.;.;.;.;.;185;..;.;.;.;170;.;41;30;.;.;22;4;.;11;7;86;..;.;12;.;405;39;4;6;.;.;.;28;8;..;.;6;.;.;4;.;24;434;7;12;14;10;6;..;.;5;11;34;7;25;32;45;.;.;459;6;347;.;85;5;5;.;.;469;.;57;16;44;.;8;9;13;8;11;5;.;.;18;.;.;85;.;59;8;10;44;.;.;.;.;.;44;159;6;.;19;12;25;5;.;.;.;.;4;.;..;240;10;.;.;21;8;..;18;.;.;6;1304;27;.;13;..;.;.;.;34;87;.;.;..;127;.;8;.;10;.;12;.;.;.;.;18;.;129;.;56;380;90;7;259;.;..;.;.;9;.;55;9;13;5;.;.;122;.;5;.;5;.;.;.;49;96;10;7;.;98;9;.;.;.;176;.;.;26;33;.;5;10;.;.;.;22;.;13;.;34;.;.;.;.;.;..;.;5;942;32;13;642;26;..;.;18;.;53;6;.;.;117;13;258;344;.;36;.;5;.;.;355;31;10;.;6;.;.;.;.;.;.;.;.;.;.;8;.;.;5;.;.;.;.;.;.;.;9;100;208;34;.;.;.;.;.;.;14;.;7;.;.;.;.;.;..;6;5;.;.;6;.;.;73;.;..;.;.;.;.;.;.;.;6;.;.;.;.;.;.;.;.;.;.;.;.;5;29;.;.;.;.;.;.;.;9;.;..;.;.;.;.;.;.;.;.;11;51;9;9;.;189;.;7;.;9;6;.;.;.;.;.;.;.;.;.;.;.;.;13;.;.;7;.;.;315;9;.;.;.;5;8;15;567;76;14;5;32;145;15;4;157;43;.;332;476;.;.;.;.;.;.;.;.;..;.;.;7;16;.;.;65;60;163;8;4;.;.;95;.;.;.;41;.;.;983;7;.;40;100;.;.;.;.;..;.;92;.;.;.;132;14;4;..;.;.;5;.;.;12;172;.;.;4;.;.;16;.;.;100;187;53;.;.;.;113;.;.;399;20;8;36;.;11;113;..;.;5;29;246;.;10;.;.;.;.;.;..;.;.;.;.;.;.;.;.;.;.;37;8;96;89;.;.;8;.;4;.;8;11;21;5;.;13;.;.;7;.;.;5;413;365;27;.;8;.;..;.;108;.;13;10;48;798;.;25;89;21;35;161;.;.;.;.;.;8;.;7;7;6;.;.;.;.;.;644;.;.;.;19;186;46;39;17;9;7;.;.;.;.;257;.;8;.;21;.;.;.;490;.;.;15;.;172;.;417;32;69;4;9;.;.;10;.;.;37;10;67;8;82;5;.;23;351;.;34;94;.;67;5;.;.;.;.;.;.;.;11;.;.;9;183;53;19;.;.;19;.;5;.;.;.;11;15;9;.;11;.;9;17;84;.;.;.;.;37;32;.;.;.;.;.;.;..;25;118;.;8;184;194;.;158;32
"Fødte";"1953";45;.;6;.;.;.;14;.;..;.;.;.;.;.;.;.;.;.;.;19;.;9;.;.;.;28;.;5;.;.;5;.;.;.;.;.;204;16;20;9;7;.;.;.;.;.;.;.;11;.;128;..;38;.;.;.;5;..;.;8;7;6;.;16;.;.;.;.;10;.;.;344;.;.;.;.;660;110;26;31;93;15;.;21;.;.;.;128;174;.;144;9;.;10;29;..;92;.;56;.;.;5;.;.;.;.;.;.;.;.;46;.;4;64;.;13;93;13;.;72;.;127;18;.;968;.;67;11;.;.;..;.;.;9;5;5;..;..;5;29;20;29;42;.;8;.;.;15;13;.;.;5;.;40;.;10;6;..;.;.;.;.;.;237;75;.;.;15;.;10;.;.;.;31;.;.;.;.;.;.;.;.;.;.;.;.;21;.;12;17;15;6;.;.;248;6;6;20;271;35;96;12;.;5;7;.;.;13;.;.;.;.;.;.;23;4;331;28;5;156;49;5;.;.;30;.;7;.;36;4;6;.;.;.;.;.;.;..;.;.;174;5;.;.;.;201;.;43;23;.;.;27;..;4;6;5;90;.;.;16;.;477;38;.;11;6;.;.;17;13;9;.;8;.;.;.;.;25;459;8;13;14;10;.;4;.;6;9;42;15;25;32;51;.;.;462;8;338;.;67;.;8;.;4;389;.;68;34;39;7;8;12;10;12;..;.;6;.;28;.;.;77;.;48;6;.;27;.;.;.;.;.;58;132;6;.;10;.;36;.;.;.;.;.;6;.;15;227;7;.;.;26;10;8;24;.;.;10;1349;20;.;24;6;.;.;.;36;120;.;.;.;135;.;9;.;14;.;15;.;.;.;.;12;.;110;.;58;372;120;.;268;.;8;.;.;.;6;47;.;11;..;.;.;135;.;6;.;.;.;.;6;47;100;7;9;.;106;10;.;.;.;172;.;.;25;24;.;4;14;8;.;4;22;.;8;.;56;5;.;4;.;.;7;.;11;875;35;16;629;28;9;.;20;.;33;14;.;9;108;11;253;342;6;46;.;.;.;.;303;35;..;8;.;.;.;.;4;.;.;.;.;.;.;.;.;.;4;.;.;.;.;.;.;.;10;81;246;30;.;.;.;5;.;.;9;.;.;.;.;.;.;.;5;.;.;.;.;.;.;.;66;.;.;.;8;.;.;.;.;.;5;.;.;8;.;.;.;.;.;5;.;..;7;.;22;.;.;.;.;.;4;.;.;.;9;.;.;.;.;.;.;.;.;20;33;17;..;.;239;..;.;.;.;6;.;.;.;.;.;.;.;.;.;.;.;.;13;.;.;.;.;.;304;8;.;.;.;.;6;25;557;67;22;10;34;171;15;.;127;36;.;275;462;.;.;.;.;.;.;.;..;6;.;.;7;19;.;5;54;40;153;16;5;.;.;100;.;.;.;36;.;.;1019;7;..;47;118;7;.;.;6;9;.;90;.;.;.;140;14;6;5;.;.;13;.;.;15;182;.;.;.;.;..;16;.;.;105;187;61;.;.;.;153;..;.;390;16;7;28;.;14;148;6;.;9;35;290;.;8;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;27;4;84;56;5;.;10;.;4;..;6;.;14;.;.;16;.;.;7;6;.;..;356;390;41;.;7;4;.;4;136;.;10;9;61;810;6;31;88;25;32;151;.;.;.;.;.;..;.;5;4;5;.;.;.;.;.;677;.;.;..;32;179;46;45;18;9;6;.;.;.;.;306;.;..;.;29;.;.;..;519;5;.;14;5;152;5;409;40;51;12;7;.;..;8;.;.;30;10;45;10;65;5;.;15;376;.;19;93;.;76;.;.;.;.;5;.;5;.;11;.;.;10;195;45;21;.;.;24;.;9;.;.;.;11;20;11;..;19;.;8;15;88;.;.;.;.;19;34;.;.;.;.;.;.;9;33;145;7;7;182;233;5;133;32
